cnot_idx,stab_type,stab_index,control,target,pauli,syndrome_bits,conflict_size,conflict_cnots
10,Z,3,7,12,ZY,000100100000001000000010,1,10
11,Z,3,8,12,ZY,000100010000000100000001,1,11
12,X,0,13,0,ZY,000010001000100010001000,3,0|1|12
13,X,0,13,1,ZY,000011001000110010001100,1,13
14,X,1,14,1,ZY,000001001000110010001100,2,13|14
15,X,1,14,2,ZY,000001000100010001000100,2,4|15
16,X,1,14,4,ZY,000001101001011010010110,2,8|16
17,X,1,14,5,ZY,000001000101010001010100,1,17
18,X,2,15,3,ZY,000000101010001010100010,2,6|18
19,X,2,15,4,ZY,000000101001011010010110,1,19
20,X,2,15,6,ZY,000000100010001000100010,2,7|20
21,X,2,15,7,ZY,000000110001001100010011,1,21
22,X,3,16,7,ZY,000000010001001100010011,2,21|22
23,X,3,16,8,ZY,000000010001000100010001,3,10|11|23
0,Z,0,0,9,ZZ,000000000000000000000000,8,0|4|6|8|12|14|18|22
1,Z,0,1,9,ZZ,000010000000100000001000,2,1|12
2,Z,0,3,9,ZZ,000001000000010000000100,4,2|5|15|17
3,Z,0,4,9,ZZ,000001100000011000000110,3,3|9|16
4,Z,1,2,10,ZZ,000000000000000000000000,8,0|4|6|8|12|14|18|22
5,Z,1,5,10,ZZ,000001000000010000000100,4,2|5|15|17
6,Z,2,3,11,ZZ,000000000000000000000000,8,0|4|6|8|12|14|18|22
7,Z,2,6,11,ZZ,000000100000001000000010,4,7|10|18|20
8,Z,3,4,12,ZZ,000000000000000000000000,8,0|4|6|8|12|14|18|22
9,Z,3,5,12,ZZ,000001100000011000000110,3,3|9|16
10,Z,3,7,12,ZZ,000000100000001000000010,4,7|10|18|20
11,Z,3,8,12,ZZ,000000010000000100000001,2,11|23
12,X,0,13,0,ZZ,000010000000100000001000,2,1|12
13,X,0,13,1,ZZ,000011000000110000001100,1,13
14,X,1,14,1,ZZ,000001000000110000001100,2,13|14
15,X,1,14,2,ZZ,000001000000010000000100,4,2|5|15|17
16,X,1,14,4,ZZ,000001100000011000000110,3,3|9|16
17,X,1,14,5,ZZ,000001000000010000000100,4,2|5|15|17
18,X,2,15,3,ZZ,000000100000001000000010,4,7|10|18|20
19,X,2,15,4,ZZ,000000100000011000000110,1,19
20,X,2,15,6,ZZ,000000100000001000000010,4,7|10|18|20
21,X,2,15,7,ZZ,000000110000001100000011,1,21
22,X,3,16,7,ZZ,000000010000001100000011,2,21|22
23,X,3,16,8,ZZ,000000010000000100000001,2,11|23
