error,mode,syndrome_r0,syndrome_r1,syndrome_r2
C:cnot09:XY,reset,00010010,01010010,01010010
C:cnot09:XY,noreset,00010010,01000000,00010010
C:cnot09:XZ,reset,00000010,01010010,01010010
C:cnot09:XZ,noreset,00000010,01010000,00000010
C:cnot09:YI,reset,00000100,01010100,01010100
C:cnot09:YI,noreset,00000100,01010000,00000100
C:cnot09:YX,reset,00010100,01010100,01010100
C:cnot09:YX,noreset,00010100,01000000,00010100
C:cnot09:YY,reset,00010110,01010110,01010110
C:cnot09:YY,noreset,00010110,01000000,00010110
C:cnot09:YZ,reset,00000110,01010110,01010110
C:cnot09:YZ,noreset,00000110,01010000,00000110
C:cnot09:ZI,reset,00000100,00000100,00000100
C:cnot09:ZI,noreset,00000100,00000000,00000100
C:cnot09:ZX,reset,00010100,00000100,00000100
C:cnot09:ZX,noreset,00010100,00010000,00010100
C:cnot09:ZY,reset,00010110,00000110,00000110
C:cnot09:ZY,noreset,00010110,00010000,00010110
C:cnot09:ZZ,reset,00000110,00000110,00000110
C:cnot09:ZZ,noreset,00000110,00000000,00000110
C:cnot10:IX,reset,00010000,00000000,00000000
C:cnot10:IX,noreset,00010000,00010000,00010000
C:cnot10:IY,reset,00010001,00000001,00000001
C:cnot10:IY,noreset,00010001,00010000,00010001
C:cnot10:IZ,reset,00000001,00000001,00000001
C:cnot10:IZ,noreset,00000001,00000000,00000001
C:cnot10:XI,reset,00000000,00010000,00010000
C:cnot10:XI,noreset,00000000,00010000,00000000
C:cnot10:XX,reset,00010000,00010000,00010000
C:cnot10:XX,noreset,00010000,00000000,00010000
C:cnot10:XY,reset,00010001,00010001,00010001
C:cnot10:XY,noreset,00010001,00000000,00010001
C:cnot10:XZ,reset,00000001,00010001,00010001
C:cnot10:XZ,noreset,00000001,00010000,00000001
C:cnot10:YI,reset,00000011,00010011,00010011
C:cnot10:YI,noreset,00000011,00010000,00000011
C:cnot10:YX,reset,00010011,00010011,00010011
C:cnot10:YX,noreset,00010011,00000000,00010011
C:cnot10:YY,reset,00010010,00010010,00010010
C:cnot10:YY,noreset,00010010,00000000,00010010
C:cnot10:YZ,reset,00000010,00010010,00010010
C:cnot10:YZ,noreset,00000010,00010000,00000010
C:cnot10:ZI,reset,00000011,00000011,00000011
C:cnot10:ZI,noreset,00000011,00000000,00000011
C:cnot10:ZX,reset,00010011,00000011,00000011
C:cnot10:ZX,noreset,00010011,00010000,00010011
C:cnot10:ZY,reset,00010010,00000010,00000010
C:cnot10:ZY,noreset,00010010,00010000,00010010
C:cnot10:ZZ,reset,00000010,00000010,00000010
C:cnot10:ZZ,noreset,00000010,00000000,00000010
C:cnot11:IX,reset,00010000,00000000,00000000
C:cnot11:IX,noreset,00010000,00010000,00010000
C:cnot11:IY,reset,00010000,00000000,00000000
C:cnot11:IY,noreset,00010000,00010000,00010000
C:cnot11:IZ,reset,00000000,00000000,00000000
C:cnot11:IZ,noreset,00000000,00000000,00000000
C:cnot11:XI,reset,00000000,00010000,00010000
C:cnot11:XI,noreset,00000000,00010000,00000000
C:cnot11:XX,reset,00010000,00010000,00010000
C:cnot11:XX,noreset,00010000,00000000,00010000
C:cnot11:XY,reset,00010000,00010000,00010000
C:cnot11:XY,noreset,00010000,00000000,00010000
C:cnot11:XZ,reset,00000000,00010000,00010000
C:cnot11:XZ,noreset,00000000,00010000,00000000
C:cnot11:YI,reset,00000001,00010001,00010001
C:cnot11:YI,noreset,00000001,00010000,00000001
C:cnot11:YX,reset,00010001,00010001,00010001
C:cnot11:YX,noreset,00010001,00000000,00010001
C:cnot11:YY,reset,00010001,00010001,00010001
C:cnot11:YY,noreset,00010001,00000000,00010001
C:cnot11:YZ,reset,00000001,00010001,00010001
C:cnot11:YZ,noreset,00000001,00010000,00000001
C:cnot11:ZI,reset,00000001,00000001,00000001
C:cnot11:ZI,noreset,00000001,00000000,00000001
C:cnot11:ZX,reset,00010001,00000001,00000001
C:cnot11:ZX,noreset,00010001,00010000,00010001
C:cnot11:ZY,reset,00010001,00000001,00000001
C:cnot11:ZY,noreset,00010001,00010000,00010001
C:cnot11:ZZ,reset,00000001,00000001,00000001
C:cnot11:ZZ,noreset,00000001,00000000,00000001
