group_id,size,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,members
10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot08:IX;C:cnot08:ZY;C:cnot09:IX;C:cnot10:IX;C:cnot11:IX;C:cnot11:IY
11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot00:IX;C:cnot00:ZY;C:cnot01:IX;C:cnot02:IX;C:cnot03:IX;C:cnot03:IY
12,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,C:cnot06:XI;C:cnot06:YZ;C:cnot18:IX;C:cnot18:XI;C:cnot19:XX
13,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,C:cnot10:XZ;C:cnot11:YI;C:cnot11:YZ;C:cnot23:YY;C:cnot23:ZY
14,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,C:cnot00:XZ;C:cnot00:YI;C:cnot01:YZ;C:cnot12:YZ;C:cnot12:ZY
15,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,A:data7:X;A:data8:X;C:cnot10:XX;C:cnot11:XX;C:cnot11:XY
16,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A:data0:X;A:data1:X;C:cnot00:XX;C:cnot00:YY;C:cnot01:XX
17,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,C:cnot09:XI;C:cnot16:XI;C:cnot17:IX;C:cnot17:XX
18,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,C:cnot08:XI;C:cnot08:YZ;C:cnot16:IX;C:cnot19:IX
19,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot22:YX;C:cnot22:ZI;C:cnot23:YI;C:cnot23:ZI
20,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,C:cnot21:IZ;C:cnot21:XZ;C:cnot22:YY;C:cnot22:ZZ
21,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C:cnot22:YI;C:cnot22:ZX;C:cnot23:YX;C:cnot23:ZX
22,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,C:cnot21:IY;C:cnot21:XY;C:cnot22:YZ;C:cnot22:ZY
23,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,C:cnot06:XZ;C:cnot06:YI;C:cnot18:YZ;C:cnot18:ZY
24,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,A:data7:Z;C:cnot10:ZI;C:cnot21:YZ;C:cnot21:ZZ
25,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,C:cnot13:IZ;C:cnot13:XZ;C:cnot14:YY;C:cnot14:ZZ
26,4,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,C:cnot13:IY;C:cnot13:XY;C:cnot14:YZ;C:cnot14:ZY
27,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot12:YX;C:cnot12:ZI;C:cnot13:YI;C:cnot13:ZI
28,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C:cnot12:YI;C:cnot12:ZX;C:cnot13:YX;C:cnot13:ZX
29,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,A:data1:Z;C:cnot01:ZI;C:cnot13:YZ;C:cnot13:ZZ
30,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,C:cnot03:XI;C:cnot03:XZ;C:cnot08:XX;C:cnot08:YY
31,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,A:data8:Y;C:cnot10:XY;C:cnot11:YX;C:cnot11:YY
32,4,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,C:cnot03:YI;C:cnot03:YZ;C:cnot08:XY;C:cnot08:YX
33,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot06:IX;C:cnot06:ZY;C:cnot07:IX;C:cnot07:IY
34,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,C:cnot06:IY;C:cnot06:ZX;C:cnot07:ZX;C:cnot07:ZY
35,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot04:IX;C:cnot04:ZY;C:cnot05:IX;C:cnot05:IY
36,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,C:cnot04:IY;C:cnot04:ZX;C:cnot05:ZX;C:cnot05:ZY
37,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,A:data0:Y;C:cnot00:XY;C:cnot00:YX;C:cnot01:YY
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,C:cnot18:IZ;C:cnot18:XY;C:cnot20:IZ
39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,C:cnot15:IZ;C:cnot17:IZ;C:cnot17:XZ
